pk,round,total_earned,category,round_times,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_owned,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet,followers_count,followings_count
149,12,154504.96,dApp Tech,9,4,5398,19052,18948,19,1,30,0,0,0,0,37,238,11,64,8725,18
149,11,37891.81,dApp Tech,8,4,5398,19052,18948,19,1,30,0,0,0,0,49,213,24,35,8725,18
149,10,45303.31,dApp Tech,7,4,5398,19052,18948,19,1,30,0,0,0,0,50,170,18,19,8725,18
149,9,19282.23,dApp Tech,6,4,5398,19052,18948,19,1,30,0,0,0,0,46,221,18,75,8725,18
149,8,25615.72,dApp Tech,5,4,5398,19052,18948,19,1,30,0,0,0,0,50,149,21,24,8725,18
149,7,28550.04,dApp Tech,4,4,5398,19052,18948,19,1,30,0,0,0,0,49,165,21,31,8725,18
149,6,4527.64,dApp Tech,3,4,5398,19052,18948,19,1,30,8,62,2,45,51,330,29,103,8725,18
149,5,3745.48,dApp Tech,2,4,5398,19052,18948,19,1,30,10,71,2,48,49,131,25,29,8725,18
149,4,3961.96,dApp Tech,1,4,5398,19052,18948,19,1,30,16,40,1,63,50,153,18,30,8725,18
4352,12,241184.2,Grants Round 12,1,,,,,,,,18,107,0,58,51,4044,371,350,58382,107
3857,12,112437.23,Community,1,3,775,8582,8600,87,1,0,13,10,0,7,0,0,0,0,31,0
172,12,111917.98,dApp Tech,8,1,1341,20183,20182,40,1,4,0,0,0,0,3,32,12,6,1821,61
172,11,26618.25,dApp Tech,7,1,1341,20183,20182,40,1,4,0,0,0,0,0,0,0,0,1821,61
172,10,419.25,dApp Tech,6,1,1341,20183,20182,40,1,4,0,0,0,0,0,0,0,0,1821,61
172,9,20716.54,dApp Tech,5,1,1341,20183,20182,40,1,4,0,0,0,0,1,9,2,4,1821,61
172,8,611.22,dApp Tech,4,1,1341,20183,20182,40,1,4,0,0,0,0,1,3,0,1,1821,61
172,7,133.63,dApp Tech,3,1,1341,20183,20182,40,1,4,3,43,0,1,2,4,0,1,1821,61
172,6,1482.01,dApp Tech,2,1,1341,20183,20182,40,1,4,0,11,0,0,1,5,0,2,1821,61
