pk,round,total_earned,round_times,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet
149,12,154504.96,9,4,5398,19052,18948,19,30,0,0,0,0,37,238,11,64
149,11,37891.81,8,4,5398,19052,18948,19,30,0,0,0,0,49,213,24,35
149,10,45303.31,7,4,5398,19052,18948,19,30,0,0,0,0,50,170,18,19
149,9,19282.23,6,4,5398,19052,18948,19,30,0,0,0,0,46,221,18,75
149,8,25615.72,5,4,5398,19052,18948,19,30,0,0,0,0,50,149,21,24
149,7,28550.04,4,4,5398,19052,18948,19,30,0,0,0,0,49,165,21,31
149,6,4527.64,3,4,5398,19052,18948,19,30,8,62,2,45,51,330,29,103
149,5,3745.48,2,4,5398,19052,18948,19,30,10,71,2,48,49,131,25,29
149,4,3961.96,1,4,5398,19052,18948,19,30,16,40,1,63,50,153,18,30
4352,12,241184.2,1,,,,,,,18,107,0,58,51,4044,371,350
3857,12,112437.23,1,3,775,8582,8600,87,0,13,10,0,7,0,0,0,0
172,12,111917.98,8,1,1341,20183,20182,40,4,0,0,0,0,3,32,12,6
172,11,26618.25,7,1,1341,20183,20182,40,4,0,0,0,0,0,0,0,0
172,10,419.25,6,1,1341,20183,20182,40,4,0,0,0,0,0,0,0,0
172,9,20716.54,5,1,1341,20183,20182,40,4,0,0,0,0,1,9,2,4
172,8,611.22,4,1,1341,20183,20182,40,4,0,0,0,0,1,3,0,1
172,7,133.63,3,1,1341,20183,20182,40,4,3,43,0,1,2,4,0,1
172,6,1482.01,2,1,1341,20183,20182,40,4,0,11,0,0,1,5,0,2
172,5,549.96,1,1,1341,20183,20182,40,4,2,108,0,0,5,59,1,14
1143,12,84816.85,6,,,,,,,0,0,0,0,4,67,4,6
1143,11,44859.04,5,,,,,,,0,0,0,0,46,1477,99,272
1143,10,5764.71,4,,,,,,,0,0,0,0,13,37,1,7
1143,9,1450.87,3,,,,,,,3,5,0,4,7,19,1,4
1143,8,1244.53,2,,,,,,,1,7,0,2,8,16,4,3
1143,7,615.38,1,,,,,,,3,1,1,26,20,77,10,13
1592,12,71109.66,5,2,456,10649,10672,91,6,0,0,0,0,0,0,0,0
